index date open high low close closeAdj volume closeUSD
HSI 2020-04-21 24247.83984 24247.83984 23676.13086 23793.55078 23793.55078 2160661700.0 3093.1616014
HSI 2020-04-22 23540.53906 23939.28906 23483.31055 23893.35938 23893.35938 1668362400.0 3106.1367194000000
HSI 2020-04-23 23983.65039 24107.88086 23806.30078 23977.32031 23977.32031 1814344800.0 3117.0516403
HSI 2020-04-24 23844.55078 23957.16992 23730.49023 23831.33008 23831.33008 1301664900.0 3098.0729104
HSI 2020-04-27 24030.66016 24318.81055 24030.53906 24280.14063 24280.14063 1592713000.0 3156.4182819000000
HSI 2020-04-28 24401.11914 24582.66016 24176.88086 24575.96094 24575.96094 1687557300.0 3194.8749222
HSI 2020-04-29 24786.01953 24855.4707 24549.61914 24643.58984 24643.58984 1648009000.0 3203.6666792
HSI 2020-05-04 23895.10938 23897.5293 23584.94922 23613.80078 23613.80078 2556774000.0 3069.7941014000000
HSI 2020-05-05 23755.76953 23928.44922 23697.88086 23868.66016 23868.66016 1332967300.0 3102.9258208
HSI 2020-05-06 23868.01953 24235.0293 23868.01953 24137.48047 24137.48047 1890000000.0 3137.8724611
HSI 2020-05-07 24120.81055 24120.81055 23913.5 23980.63086 23980.63086 1317060000.0 3117.4820118000000
HSI 2020-05-08 24193.35938 24263.73047 24097.11914 24230.16992 24230.16992 1274113200.0 3149.9220896
HSI 2020-05-11 24470.17969 24766.83008 24470.17969 24602.06055 24602.06055 1458200000.0 3198.2678715000000
HSI 2020-05-12 24358.0 24411.03906 24136.19922 24245.67969 24245.67969 1479628600.0 3151.9383597
HSI 2020-05-13 24111.66992 24320.19922 23979.36914 24180.30078 24180.30078 1359038500.0 3143.4391014000000
HSI 2020-05-14 24038.07031 24081.18945 23790.26953 23829.74023 23829.74023 1697720800.0 3097.8662299000000
HSI 2020-05-15 23834.67969 23985.11914 23671.60938 23797.4707 23797.4707 1509478600.0 3093.6711910000000
HSI 2020-05-18 23736.66992 23952.05078 23722.16992 23934.76953 23934.76953 1645114700.0 3111.5200389
HSI 2020-05-19 24489.55078 24552.55078 24314.44922 24388.13086 24388.13086 2022987500.0 3170.4570118
HSI 2020-05-20 24462.90039 24514.86914 24315.75 24399.94922 24399.94922 1432021300.0 3171.9933986
HSI 2020-05-21 24528.91016 24528.91016 24208.16016 24280.0293 24280.0293 1474345000.0 3156.403809
HSI 2020-05-22 23756.91016 23756.91016 22878.25977 22930.14063 22930.14063 3680989100.0 2980.9182819000000
HSI 2020-05-25 22725.69922 22968.65039 22519.73047 22952.24023 22952.24023 1769029000.0 2983.7912299
HSI 2020-05-26 23198.33984 23481.48047 23165.49023 23384.66016 23384.66016 1421148200.0 3040.0058208
HSI 2020-05-27 23515.14063 23515.14063 23134.60938 23301.35938 23301.35938 1837146100.0 3029.1767194000000
HSI 2020-05-28 23206.75 23451.7793 22779.61914 23132.75977 23132.75977 2356792600.0 3007.2587701
HSI 2020-05-29 22781.10938 23089.76953 22781.10938 22961.4707 22961.4707 3621412000.0 2984.9911910000000
HSI 2020-06-01 23539.91016 23806.32031 23539.91016 23732.51953 23732.51953 2569148800.0 3085.2275389
HSI 2020-06-02 23792.24023 23995.93945 23766.15039 23995.93945 23995.93945 1813293900.0 3119.4721285000000
HSI 2020-06-03 24303.56055 24364.00977 24219.96094 24325.61914 24325.61914 2455118300.0 3162.3304882000000
HSI 2020-06-04 24643.83984 24643.83984 24204.09961 24366.30078 24366.30078 1888873500.0 3167.6191014
HSI 2020-06-05 24388.17969 24810.2207 24253.56055 24770.41016 24770.41016 2397618300.0 3220.1533208
HSI 2020-06-08 25018.05078 25018.7793 24678.55078 24776.76953 24776.76953 2123439500.0 3220.9800389
HSI 2020-06-09 24906.00977 25253.66992 24837.73047 25057.2207 25057.2207 2203396500.0 3257.4386910000000
HSI 2020-06-10 25179.0293 25303.7793 24968.30078 25049.73047 25049.73047 1971349200.0 3256.4649611
HSI 2020-06-11 24997.83984 25059.32031 24480.15039 24480.15039 24480.15039 1838958200.0 3182.4195507
HSI 2020-06-12 23920.69922 24317.7207 23895.0293 24301.38086 24301.38086 1824519600.0 3159.1795118000000
HSI 2020-06-15 23991.38086 24242.9707 23684.96094 23776.94922 23776.94922 2104538300.0 3091.0033986
HSI 2020-06-16 24318.15039 24534.76953 24302.25 24344.08984 24344.08984 1611589900.0 3164.7316792
HSI 2020-06-17 24363.39063 24532.00977 24195.82031 24481.41016 24481.41016 1278279300.0 3182.5833208
